customer_id,gender,age,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,contract,monthly_charges,total_charges,churn
692a1375-e81f-4ef3-afb6-15d0565de79c,Female,21,70,Yes,No,DSL,No,Yes,Yes,Yes,One year,102.5,6673.59,No
709e3d48-bf70-4406-ba19-920fd2efa8c1,Non-binary,32,0,No,No phone service,Fiber optic,No,No,Yes,No internet service,Two year,128.4,2644.14,No
1c552d12-f0d6-4bb8-93dd-f04bb50e00bf,Non-binary,55,37,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,One year,76.09,1375.61,Yes
15d5af9b-430c-4b65-840a-e6e289954f32,Female,53,67,No,No,Fiber optic,Yes,No internet service,Yes,Yes,Two year,127.7,2237.87,No
cf94978a-6183-42cb-81d8-912ea584251b,Male,41,32,Yes,No,DSL,Yes,,Yes,Yes,Month-to-month,38.25,178.15,No
0045b5ab-d146-498d-a003-2b25bea4ee78,Male,51,18,No,No phone service,Fiber optic,No internet service,Yes,No,No internet service,Two year,119.15,2161.62,No
ebad4867-6298-4911-8f6b-db590baf0b22,Male,57,4,Yes,No,Fiber optic,Yes,No,No internet service,No,Two year,101.84,5211.14,No
0b6f69e4-a3f4-4cc9-8621-41f9d344aa63,Female,57,43,Yes,No phone service,Fiber optic,No internet service,Yes,No,No,One year,129.0,594.23,No
a39187d5-8bcb-49d7-abc8-7f09af11cb03,Non-binary,65,15,Yes,No,No,Yes,Yes,Yes,No,One year,99.83,3876.22,No
a4616f66-a8b8-4010-a4e9-5e07f52ff9e7,Female,68,41,No,Yes,No,No internet service,,,No,Two year,41.94,6368.17,No
39c63ac2-a7ef-4911-a334-d625a34492ac,Non-binary,53,12,Yes,Yes,Fiber optic,No,Yes,No,No internet service,One year,36.48,2993.03,No
feb25102-43f1-4133-b6a5-9c8cfc076af6,Male,61,35,No,No,No,No,No internet service,No,Yes,Month-to-month,76.52,3767.79,No
58353465-47ea-4c43-9e90-30840a926658,Male,70,69,No,Yes,DSL,Yes,,No,Yes,One year,62.89,2310.28,Yes
a70d04d0-c145-47dd-8d39-5e1d8461689c,Male,23,70,No,Yes,No,No,No internet service,Yes,No internet service,One year,39.38,873.15,No
35455bbf-a8c2-44d5-83e8-d965f75ca0cf,Female,27,42,No,No,Fiber optic,No internet service,Yes,No internet service,No internet service,Two year,116.64,2980.34,Yes
fb9a936d-7757-4a1f-b700-474e00aefaf9,Non-binary,56,23,Yes,No phone service,DSL,Yes,No internet service,No,No,Two year,84.78,3023.7,Yes
